ID,author_given_name,author_surname,author_id
4,Holger,Cramer,50161242500
4,Romy,Lauche,23482138400
4,Jost,Langhorst,6602609331
4,Gustav,Dobos,55491154600
5,T.,Josefsson,56538301800
5,M.,Lindwall,8365303000
5,T.,Archer,7101684166
17,Sara,Radovic,57193791658
17,Michael S.,Gordon,56714626000
17,Glenn A.,Melvin,6603806651
27,Ana Heloisa Nascimento,Beserra,57327765900
27,Priscila,Kameda,57205168661
27,Andrea Camaz,Deslandes,6602385251
27,Felipe Barreto,Schuch,14016488400
27,Jerson,Laks,56218826200
27,Helena Sales,de Moraes,21734345600
121,Michael J.,Forlenza,6603095212
121,Gregory E.,Miller,7404978645
143,E. L.,Van Der Kooi,6507458944
143,J. S.,Kalkman,6603137598
143,E.,Lindeman,6701441488
143,J. C.M.,Hendriks,7101998868
143,B. G.M.,Van Engelen,7006305683
143,G.,Bleijenberg,7005534635
143,G. W.,Padberg,7005422365
182,Holy,Blake,7003813067
182,P.,Mo,16319047600
182,S.,Malik,23568093600
182,S.,Thomas,55822964785
184,Alexandre C.,Fortanier,56622932900
184,Roderick P.,Venekamp,24345784200
184,Chantal W.B.,Boonacker,26027749700
184,Eelko,Hak,7006344929
184,Anne G.M.,Schilder,7007062761
184,Elisabeth A.M.,Sanders,7102550106
184,Roger A.M.J.,Damoiseaux,7004739501
211,Karlijn J.,Joling,23768010500
211,Hein P.J.,Van Hout,6701900416
211,Petronella J.,Van't Veer-Tazelaar,23398999100
211,Henriette E.,Van Der Horst,7004604315
211,Pim,Cuijpers,7005376994
211,Peter M.,Van De Ven,36027615100
211,Harm W.J.,Van Marwijk,7004262000
216,Leonore,de Wit,26435750500
216,Annemieke,van Straten,8694830100
216,Femke,Lamers,36497157200
216,Pim,Cuijpers,7005376994
216,Brenda,Penninx,55800249300
250,James A.,Blumenthal,24382350300
250,Michael A.,Babyak,7004498523
250,Christopher,O'Connor,35371777500
250,Steven,Keteyian,7003395380
250,Joel,Landzberg,6603654515
250,Jonathan,Howlett,35402334100
250,William,Kraus,7103319252
250,Stephen,Gottlieb,7201685476
250,Gordon,Blackburn,7201722705
250,Ann,Swank,7003694098
250,David J.,Whellan,6701615014
270,Felipe Barreto,Schuch,14016488400
270,Marcelo Pio,de Almeida Fleck,7004523568
276,Nathaly,Rius-Ottenheim,36976096800
276,Johanna M.,Geleijnse,35195702500
276,Daan,Kromhout,40261987600
276,Roos C.,Van Der Mast,35481090300
276,Frans G.,Zitman,7004412740
276,Erik J.,Giltay,7003390306
283,Alan C.,Tsai,55440681300
283,Shu Huang,Chi,55711425400
283,Jiun Yi,Wang,8517179700
287,Davy,Vancampfort,26326634000
287,Marc,De Hert,7004425915
287,Kim,Sweers,23568910500
287,Amber,De Herdt,54889783900
287,Johan,Detraux,36815604700
287,Michel,Probst,7102075562
296,Susaree,Prakhinkit,56152482700
296,Siriluck,Suppapitiporn,22037205900
296,Hirofumi,Tanaka,7407687647
296,Daroonwan,Suksom,8333692100
297,Carol A.,Janney,56769338600
297,Andrea,Fagiolini,6602989482
297,Holly A.,Swartz,7102010282
297,John M.,Jakicic,35371747900
297,Robert G.,Holleman,16549610100
297,Caroline R.,Richardson,7402506038
324,Jerónima,Correia,57191364461
324,Paula,Ravasco,6602551513
337,Young,Choi,57203664951
337,Eun Cheol,Park,57208356854
337,Jae Hyun,Kim,57203242818
337,Ki Bong,Yoo,55754867000
337,Jae Woo,Choi,56150115100
337,Kwang Sig,Lee,57203464410
348,Davy,Vancampfort,26326634000
348,Tomas,Madou,56674685500
348,Herman,Moens,56674233300
348,Tanja,De Backer,56673927900
348,Patrick,Vanhalst,56674654200
348,Chris,Helon,56674809600
348,Pieter,Naert,56674502000
348,Simon,Rosenbaum,45761309400
348,Brendon,Stubbs,57204891343
348,Michel,Probst,7102075562
363,Yuko,Yoshida,36714751600
363,Hajime,Iwasa,15834385000
363,Shu,Kumagai,57199371573
363,Takao,Suzuki,55628570258
363,Shuichi,Awata,7003636771
363,Hideyo,Yoshida,7408718760
385,J.,Rosendahl,6603267591
385,R.,Klatte,57188761779
385,S.,Pabst,57188765985
385,A.,Beelmann,6602367544
385,J.,Rosendahl,6603267591
389,Iraj,Salehi,16418053600
389,Seyed Mohammad,Hosseini,57215035622
389,Mohammad,Haghighi,36832753400
389,Leila,Jahangard,25654890100
389,Hafez,Bajoghli,36805540300
389,Markus,Gerber,24721244300
389,Uwe,Pühse,14045669500
389,Edith,Holsboer-Trachsler,55120971000
389,Serge,Brand,7102840168
392,Jackie,Curtis,7401481092
392,Andrew,Watkins,55248161000
392,Simon,Rosenbaum,45761309400
392,Scott,Teasdale,56452738400
392,Megan,Kalucy,6507911761
392,Katherine,Samaras,7005394079
392,Philip B.,Ward,7402102266
399,Ross,Balchin,36544774200
399,Jani,Linde,57189001353
399,Dee,Blackhurst,57216229536
399,Hg Laurie,Rauch,16639445800
399,Georg,Schönbächler,6506190520
92,Anne S.,Mather,57197128260
92,Cesar,Rodriguez,57225803841
92,Moyra F.,Guthrie,7004863070
92,Anne M.,McHarg,6602174202
92,Ian C.,Reid,7402194246
92,Marion E.T.,McMurdo,35594258000
309,Kelly P.,Arbour-Nicitopoulos,35193657100
309,Markus,Duncan,56278119200
309,Gary,Remington,7005742222
309,John,Cairney,55173153600
309,Guy E.,Faulkner,7005753356
